Date;Company;Assets
31.12.2015;1;336758
30.09.2015;1;340662
30.06.2015;1;348260
31.03.2015;1;342961
31.12.2014;1;349493
30.09.2014;1;352764
30.06.2014;1;358586
31.03.2014;1;353033
31.12.2013;1;346808
30.09.2013;1;347564
28.06.2013;1;341615
28.03.2013;1;339639
31.12.2012;1;333795
28.09.2012;1;335191
29.06.2012;1;329645
30.03.2012;1;345152
30.12.2011;1;331052
30.09.2011;1;323227
30.06.2011;1;326204
31.03.2011;1;319533
31.12.2010;1;302510
30.09.2010;1;299994
30.06.2010;1;291068
31.03.2010;1;242748
31.12.2009;1;233323
30.09.2009;1;229307
30.06.2009;1;224661
31.03.2009;1;222491
31.12.2008;1;228052
30.09.2008;1;256218
30.06.2008;1;266758
31.03.2008;1;258202
31.12.2007;1;242082
28.09.2007;1;236661
29.06.2007;1;228315
30.03.2007;1;223299
29.12.2006;1;219015
29.09.2006;1;223947
30.06.2006;1;221010
31.03.2006;1;216002
30.12.2005;1;208335
30.09.2005;1;209721
30.06.2005;1;201816
31.03.2005;1;201252
31.12.2004;1;195256
30.09.2004;1;187433
30.06.2004;1;180989
31.03.2004;1;180202
31.12.2003;1;174278
30.09.2003;1;166987
30.06.2003;1;165103
31.03.2003;1;162495
31.12.2002;1;152644
30.09.2002;1;149473
28.06.2002;1;148232
28.03.2002;1;142037
31.12.2001;1;143174
28.09.2001;1;147904
29.06.2001;1;147660
30.03.2001;1;148786
29.12.2000;1;149000
29.09.2000;1;148252
30.06.2000;1;146618
31.03.2000;1;143238
31.12.1999;1;144521
30.09.1999;1;94394
30.06.1999;1;91235
31.03.1999;1;90731
31.12.1998;1;139335
30.09.1998;1;95227
30.06.1998;1;93216
31.03.1998;1;94953
31.12.1997;1;96064
30.09.1997;1;97123
30.06.1997;1;94920
31.03.1997;1;95647
31.12.1996;1;95527
30.09.1996;1;93468
28.06.1996;1;92396
31.12.2015;2;18842
30.09.2015;2;27812
30.06.2015;2;35312
31.03.2015;2;48650
31.12.2014;2;55952
30.09.2014;2;60990
30.06.2014;2;61171
31.03.2014;2;61121
31.12.2013;2;61637
30.09.2013;2;60239
28.06.2013;2;63350
28.03.2013;2;61792
31.12.2012;2;60737
28.09.2012;2;58810
29.06.2012;2;57217
30.03.2012;2;53237
30.12.2011;2;52051
30.09.2011;2;47482
30.06.2011;2;46529
31.03.2011;2;44866
31.12.2010;2;43425
30.09.2010;2;36928,349
30.06.2010;2;30432,407
31.03.2010;2;29228,161
31.12.2009;2;28185,743
30.09.2009;2;27225,496
30.06.2009;2;26401,927
