Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD
31.12.2015;1;0,048419637;-0,055526113;-0,044733607;0,12768644;-0,344339623;-0,178531825;-0,074088748;0,067074624;-0,028182876;-0,025912216;-0,021103483;-0,003116759;-0,103989536;-0,009899692;-0,00315831
30.09.2015;1;-0,106370192;0,096195295;0,107127681;0,02633138;0,011933174;-0,24180259;-0,108757062;-0,077767498;0,002691307;-0,037169043;-0,023342439;0,021928213;-0,153846154;-0,02983081;-0,213842334
30.06.2015;1;-0,021176471;0,040405719;0,033536542;0,023662295;-0,151821862;0,249369748;0,072727273;-0,010460134;0,038766191;0,060332029;-0,001302003;-0,019341663;0,051804424;-0,020314058;0,030051151
31.03.2015;1;-0,0805841;0,072424579;0,071012667;0,148284245;-0,248097412;-0,106438896;-0,086188993;-0,002484226;-0,112993883;-0,048725685;0,000992987;-0,003710353;-0,002901915;0,01486119;-0,170951497
31.12.2014;1;-0,017012228;0,016030724;-0,009635562;0,381121673;-0,185873606;-0,415642826;-0,298956564;0,045696834;-0,042197767;-0,03922778;-0,010865562;-0,083881579;-0,317893903;-0,020927497;-0,077506112
30.09.2014;1;-0,065852205;0,060573952;0,074433039;0,006569223;-0,080865604;-0,134858119;-0,076216095;0,012624647;-0,077490505;-0,052203905;0,010734008;-0,075894214;-0,141400408;-0,030261183;-0,094732182
30.06.2014;1;0,030712531;-0,007835977;0,004785775;-0,009740732;-0,035164835;0,037310494;0,020590254;0,022007525;-0,005592272;0,026647461;0,002051728;0,018788066;0,031556802;-0,002694611;0,026118556
31.03.2014;1;-0,034782609;0,064702122;0,059812609;-0,071016221;0,089820359;0,032107295;0,033333333;-0,007358768;0,001891872;0,006341729;-0,025979531;0,020006318;-0,061533399;0,033096195;0,040652328
31.12.2013;1;0,176197118;-0,144997957;-0,11863595;0,036400946;0,060991105;-0,038209714;0,188202247;0,095409231;0,015968064;0,022921043;0,010649367;-0,067092338;-0,016504854;0,011070803;-0,06082131
30.09.2013;1;-0,047703376;0,076449359;0,082010593;0,075630923;0,147230321;0,059755592;-0,001402525;0,014430289;0,039738663;0,063958457;0,002823298;0,009319849;0,014445174;-0,04577738;0,005131638
28.06.2013;1;0,002663411;0,013173055;-0,001353449;0,45577608;-0,277894737;-0,006890877;-0,114065606;0,022028721;0,014899758;0,000986972;0,011924725;-0,049745619;-0,053449347;-0,087269162;-0,093629929
28.03.2013;1;0,041132293;-0,010381418;-0,01938086;0,148625213;-0,045226131;0,058919625;0,200835571;0,11243406;-0,028348367;-0,065026146;0,003365115;-0,079444926;-0,016804155;0,006635227;0,014150943
31.12.2012;1;-0,053581192;0,06553622;0,065677903;-0,06407802;0,039707419;-0,00401345;0,009337349;-0,025111334;0,025894246;0,005443187;0,008674335;-0,101325019;0,020579981;-0,035693512;-0,01135442
28.09.2012;1;0,068715671;-0,03665935;-0,027952667;-0,222830775;-0,398491515;0,08509887;0,175637394;0,042508145;0,015236441;0,029286305;0,011058151;0,023942538;0,038200065;0,04741069;-0,007845504
29.06.2012;1;-0,013374841;-0,01939836;0,05092918;-0,027338793;0,683597884;-0,175305766;0,328316087;-0,02555481;-0,050663269;-0,018803098;-0,009567571;0,038283063;-0,094665885;-0,080093748;-0,091888929
30.03.2012;1;0,023242095;0,031548213;0,010169266;-0,10008116;0,005319149;0,042396034;-0,288725326;0,080457595;0,029473034;0,029917004;0,00094506;-0,07176371;0,097812098;0,0427691;0,020697371
30.12.2011;1;0,167010877;-0,111427525;-0,140281913;0,025451449;-0,090029042;0,247853535;-0,18466994;0,118662849;-0,031821917;-0,002630903;0,013149496;0,001386428;0,002580645;-0,078572478;0,008461828
30.09.2011;1;-0,107520275;0,126231101;0,139251722;0,014251781;-0,032771536;-0,169985328;-0,161865569;-0,12159534;-0,076885947;-0,029215723;0,012604227;0,0459196;-0,135768051;-0,088527955;-0,168672815
30.06.2011;1;-0,032687507;0,069267143;0,076016866;0,010934709;0,002816901;-0,105884558;-0,003417635;0,007549551;0,024297217;0,00155977;0,013030382;0,031922853;0,018166336;-0,000757981;0,044237675
31.03.2011;1;0,150574398;-0,072083294;-0,093600336;0,024843141;0,151351351;0,167870431;-0,003632236;0,063878776;0,057830245;0,02664617;0,008052805;-0,023857827;0,07506866;0,002816901;0,016932271
31.12.2010;1;0,183363004;-0,136910126;-0,132272844;-0,190468742;0,258503401;0,142678504;0,137654959;0,073029119;-0,018336512;-0,00661746;0,013513514;0,02923244;0,002140673;0,004987867;0,016194332
30.09.2010;1;0,082705449;-0,038814499;-0,033841791;-0,135754687;-0,027777778;0,057384636;-0,16117851;0,102807486;0,114070927;0,05158916;0,01369863;0,058807924;0,022194436;0,033771543;0,070036101
