"";"group1";"vars";"mean";"sd";"min";"max"
"1";"Apache";"Stock";57,66;34,94;10,96;139
"2";"Apache";"A.MCAP";1,22;0,38;0,69;2,37
"3";"Apache";"BVE.MCAP";0,63;0,2;0,25;1,19
"4";"Apache";"D.MCAP";46,55;27;20,8;207,59
"5";"Apache";"NI";-39,64;1588,3;-7213;1445,23
"6";"Chevron";"Stock";68,36;29,44;29,5;130,55
"7";"Chevron";"A.MCAP";0,95;0,22;0,62;1,81
"8";"Chevron";"BVE.MCAP";0,49;0,16;0,27;1,05
"9";"Chevron";"D.MCAP";25,79;15,2;7,34;51,82
"10";"Chevron";"NI";3051,29;2339,81;-2522;7893
"11";"CPEnergy";"Stock";18,13;6,17;7,05;37,78
"12";"CPEnergy";"A.MCAP";3,6;1,64;2;9,52
"13";"CPEnergy";"BVE.MCAP";0,56;0,23;0,26;1,66
"14";"CPEnergy";"D.MCAP";356,61;234,82;95,43;1284,91
"15";"CPEnergy";"NI";49,07;556,58;-4124,49;1704,74
"16";"Exxon_Mobil";"Stock";60,18;23,24;20,81;101,2
"17";"Exxon_Mobil";"A.MCAP";0,68;0,16;0,47;1,1
"18";"Exxon_Mobil";"BVE.MCAP";0,34;0,09;0,22;0,57
"19";"Exxon_Mobil";"D.MCAP";13,68;5,95;6,75;28,25
"20";"Exxon_Mobil";"NI";6350,63;3449,67;1400;15910
"21";"Hess_Corp";"Stock";44,79;25,93;14,75;126,19
"22";"Hess_Corp";"A.MCAP";1,77;0,52;0,75;3,51
"23";"Hess_Corp";"BVE.MCAP";0,75;0,25;0,27;1,56
"24";"Hess_Corp";"D.MCAP";55,52;27,3;23;117,49
"25";"Hess_Corp";"NI";280,74;472,92;-1821;1925
"26";"Murphy_Oil";"Stock";35,42;19,87;8,36;84,62
"27";"Murphy_Oil";"A.MCAP";1,14;0,45;0,6;3,03
"28";"Murphy_Oil";"BVE.MCAP";0,57;0,24;0,3;1,45
"29";"Murphy_Oil";"D.MCAP";30,79;14,58;6,58;60,08
"30";"Murphy_Oil";"NI";117,94;254,2;-1595,43;619,2
"31";"Occidental_Petroleum";"Stock";45,73;31,91;8,09;100,23
"32";"Occidental_Petroleum";"A.MCAP";1,23;0,58;0,56;2,6
"33";"Occidental_Petroleum";"BVE.MCAP";0,55;0,13;0,34;0,94
"34";"Occidental_Petroleum";"D.MCAP";48,95;49,14;6,57;208,26
"35";"Occidental_Petroleum";"NI";607,54;1098,38;-5178;2297
"36";"PG&E_Corp";"Stock";34,52;11,29;11,2;53,24
"37";"PG&E_Corp";"A.MCAP";3,23;1,39;1,97;8,7
"38";"PG&E_Corp";"BVE.MCAP";0,72;0,16;0,41;1,43
"39";"PG&E_Corp";"D.MCAP";146,34;78,58;87,63;500,48
"40";"PG&E_Corp";"NI";191,98;690,16;-4117;3033
"41";"Williams";"Stock";23,39;12,05;1,85;58,21
"42";"Williams";"A.MCAP";3,01;4,63;0,8;30,73
"43";"Williams";"BVE.MCAP";0,66;0,7;0,13;4,96
"44";"Williams";"D.MCAP";151,4;58,77;85,06;337,28
"45";"Williams";"NI";68,53;350,2;-1263;1678
