"";"group1";"vars";"mean";"sd";"median";"min";"max";"skew";"kurtosis"
"1";"Apache";"Stock";57,66;34,94;61,23;10,96;139;0,3;-1,01
"2";"Apache";"A-MCAP";1,22;0,38;1,11;0,69;2,37;0,99;0,21
"3";"Apache";"BVE-MCAP";0,63;0,2;0,56;0,25;1,19;0,92;0,07
"4";"Apache";"D-MCAP";46,55;27;35,65;20,8;207,59;2,96;14,04
"5";"Apache";"NI";-39,64;1588,3;276,96;-7213;1445,23;-3;8,59
"6";"Chevron";"Stock";68,36;29,44;62,06;29,5;130,55;0,5;-1,1
"7";"Chevron";"A-MCAP";0,95;0,22;0,9;0,62;1,81;1,14;2,17
"8";"Chevron";"BVE-MCAP";0,49;0,16;0,45;0,27;1,05;1,01;0,92
"9";"Chevron";"D-MCAP";25,79;15,2;22,95;7,34;51,82;0,37;-1,39
"10";"Chevron";"NI";3051,29;2339,81;3070;-2522;7893;0,15;-0,79
"11";"CPEnergy";"Stock";18,13;6,17;17,98;7,05;37,78;0,74;1,15
"12";"CPEnergy";"A-MCAP";3,6;1,64;3,01;2;9,52;1,56;2,04
"13";"CPEnergy";"BVE-MCAP";0,56;0,23;0,5;0,26;1,66;1,9;5,85
"14";"CPEnergy";"D-MCAP";356,61;234,82;233,85;95,43;1284,91;1,2;1,48
"15";"CPEnergy";"NI";49,07;556,58;105;-4124,49;1704,74;-5,18;39,47
"16";"Exxon_Mobil";"Stock";60,18;23,24;60,86;20,81;101,2;0,09;-1,4
"17";"Exxon_Mobil";"A-MCAP";0,68;0,16;0,65;0,47;1,1;0,6;-0,72
"18";"Exxon_Mobil";"BVE-MCAP";0,34;0,09;0,33;0,22;0,57;0,67;-0,46
"19";"Exxon_Mobil";"D-MCAP";13,68;5,95;11,65;6,75;28,25;0,62;-0,96
"20";"Exxon_Mobil";"NI";6350,63;3449,67;6050;1400;15910;0,36;-0,62
"21";"Hess_Corp";"Stock";44,79;25,93;43,45;14,75;126,19;0,74;-0,14
"22";"Hess_Corp";"A-MCAP";1,77;0,52;1,6;0,75;3,51;1,06;1,13
"23";"Hess_Corp";"BVE-MCAP";0,75;0,25;0,67;0,27;1,56;0,89;0,78
"24";"Hess_Corp";"D-MCAP";55,52;27,3;48,84;23;117,49;0,83;-0,41
"25";"Hess_Corp";"NI";280,74;472,92;257;-1821;1925;-0,27;5,44
"26";"Murphy_Oil";"Stock";35,42;19,87;38,64;8,36;84,62;0,18;-1,06
"27";"Murphy_Oil";"A-MCAP";1,14;0,45;1,01;0,6;3,03;2;5,51
"28";"Murphy_Oil";"BVE-MCAP";0,57;0,24;0,46;0,3;1,45;1,41;2,02
"29";"Murphy_Oil";"D-MCAP";30,79;14,58;25,91;6,58;60,08;0,47;-0,85
"30";"Murphy_Oil";"NI";117,94;254,2;113,15;-1595,43;619,2;-3,94;25,07
"31";"Occidental_Petroleum";"Stock";45,73;31,91;44,44;8,09;100,23;0,22;-1,55
"32";"Occidental_Petroleum";"A-MCAP";1,23;0,58;0,94;0,56;2,6;0,8;-0,75
"33";"Occidental_Petroleum";"BVE-MCAP";0,55;0,13;0,55;0,34;0,94;1,03;0,91
"34";"Occidental_Petroleum";"D-MCAP";48,95;49,14;25,01;6,57;208,26;1,56;1,94
"35";"Occidental_Petroleum";"NI";607,54;1098,38;564;-5178;2297;-2,64;10,64
"36";"PG&E_Corp";"Stock";34,52;11,29;37,54;11,2;53,24;-0,37;-0,88
"37";"PG&E_Corp";"A-MCAP";3,23;1,39;2,78;1,97;8,7;2,57;6,2
"38";"PG&E_Corp";"BVE-MCAP";0,72;0,16;0,69;0,41;1,43;1,49;4,19
"39";"PG&E_Corp";"D-MCAP";146,34;78,58;121,68;87,63;500,48;2,62;6,99
"40";"PG&E_Corp";"NI";191,98;690,16;233,69;-4117;3033;-2,81;22,46
"41";"Williams";"Stock";23,39;12,05;21,55;1,85;58,21;0,74;0,75
"42";"Williams";"A-MCAP";3,01;4,63;1,78;0,8;30,73;4,49;21,22
"43";"Williams";"BVE-MCAP";0,66;0,7;0,49;0,13;4,96;4,52;22,49
"44";"Williams";"D-MCAP";151,4;58,77;136,72;85,06;337,28;1,45;1,46
"45";"Williams";"NI";68,53;350,2;107,7;-1263;1678;-0,46;9,06
