Date;Company;Stock;Assets to Market Cap;BV Equity to Market Cap;Debt to Equity;Net Income;Oil;Gas;Market;EURUSD;GBPUSD;CNYUSD;JPYUSD;RUBUSD;INRUSD;BRLUSD;T-Bill3M
31.12.2015;1;77,95;1,039504235;0,54577692;21,8805;2780;37,04;2,337;17425,03;1,0862;1,4736;0,154;0,008316;0,0137;0,015102;0,2525;0,00295
30.09.2015;1;74,35;1,100617232;0,571334785;19,403;4240;45,09;2,524;16284,7;1,1177;1,5128;0,15732;0,008342;0,01529;0,015253;0,2533;0,00201
30.06.2015;1;83,2;1,004033895;0,516051396;18,9052;4190;59,47;2,832;17619,51;1,1147;1,5712;0,16108;0,008163;0,01807;0,015722;0,3222;0,00165
31.03.2015;1;85;0,96504073;0,499306386;18,4682;4940;47,6;2,64;17776,12;1,0731;1,4818;0,16129;0,008324;0,01718;0,016048;0,3128;-0,00015
31.12.2014;1;92,45;0,899868158;0,466200262;16,0833;6570;53,27;2,889;17823,07;1,2098;1,5577;0,16113;0,008355;0,01723;0,015813;0,3773;0,00008
30.09.2014;1;94,05;0,885670224;0,470736069;11,6451;8070;91,16;4,121;17042,9;1,2631;1,6213;0,1629;0,00912;0,02526;0,016151;0,409;0,00023
30.06.2014;1;100,68;0,835085778;0,438125087;11,5691;8780;105,37;4,461;16826,6;1,3692;1,7106;0,16117;0,009869;0,02942;0,016655;0,4518;0,00041
31.03.2014;1;97,68;0,841681172;0,436038306;11,6829;9100;101,58;4,371;16457,66;1,3769;1,6662;0,16084;0,009687;0,02852;0,0167;0,4403;0,00018
31.12.2013;1;101,2;0,79053207;0,411429626;12,576;8350;98,42;4,23;16576,66;1,3743;1,6557;0,16513;0,009497;0,03039;0,016165;0,4231;0,00023
30.09.2013;1;86,04;0,924596703;0,466810084;12,1343;7870;102,33;3,56;15129,67;1,3527;1,6186;0,16339;0,01018;0,0309;0,015988;0,4505;0,00033
28.06.2013;1;90,35;0,858931909;0,431428387;11,2811;6860;96,56;3,565;14909,6;1,301;1,5213;0,16293;0,010086;0,03046;0,016755;0,4482;0,00068
28.03.2013;1;90,11;0,847764264;0,432013095;7,7492;9500;97,23;4,024;14578,54;1,2819;1,5198;0,16101;0,010614;0,03218;0,018357;0,4945;0,00008
31.12.2012;1;86,55;0,856657584;0,440551359;6,7465;9950;91,82;3,351;13104,14;1,3193;1,6255;0,16047;0,01153;0,03273;0,018236;0,4876;0,00033
28.09.2012;1;91,45;0,803968526;0,413400107;7,2084;9570;92,19;3,32;13437,13;1,286;1,6167;0,15909;0,01283;0,03207;0,018911;0,4932;0,00074
29.06.2012;1;85,57;0,834563066;0,425288042;9,2752;15910;84,96;2,824;12880,09;1,2667;1,5707;0,15735;0,01253;0,03089;0,018055;0,4971;0,00043
30.03.2012;1;86,73;0,851072476;0,404678117;9,5359;9450;103,02;2,126;13212,04;1,3343;1,6008;0,15887;0,012068;0,03412;0,019627;0,5474;0,00094
30.12.2011;1;84,76;0,825043818;0,400604266;10,5964;9400;98,83;2,989;12217,56;1,2961;1,5543;0,15872;0,013001;0,03108;0,018822;0,5363;0,00084
30.09.2011;1;72,63;0,928504811;0,465971662;10,3334;10330;79,2;3,666;10913,38;1,3387;1,5584;0,15666;0,012983;0,031;0,020427;0,5318;0,00069
30.06.2011;1;81,38;0,82443542;0,409015543;10,1882;10680;95,42;4,374;12414,34;1,4502;1,6053;0,15471;0,012413;0,03587;0,022411;0,6397;0,00013
31.03.2011;1;84,13;0,771028481;0,380120011;10,078;10650;106,72;4,389;12319,73;1,4158;1,6028;0,15272;0,012029;0,03523;0,022428;0,6126;0,00023
31.12.2010;1;73,12;0,830924236;0,419373513;9,8337;9250;91,38;4,405;11577,51;1,3384;1,5612;0,1515;0,012323;0,03277;0,022365;0,6024;0,00015
30.09.2010;1;61,79;0,962731995;0,483301128;12,1474;7350;79,97;3,872;10788,05;1,3634;1,5716;0,14948;0,011973;0,0327;0,022254;0,5928;0,00094
30.06.2010;1;57,07;1,001608945;0,5002298;14,0555;7560;75,63;4,616;9774,02;1,2238;1,4945;0,14746;0,011308;0,03199;0,021527;0,554;0,00125
31.03.2010;1;66,98;0,771431742;0,373932174;8,0312;6300;83,76;3,869;10856,63;1,351;1,5184;0,14649;0,0107;0,03397;0,022306;0,5625;0,00158
